,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,GENE NAME ASSOCIATION,SUBSYSTEM,MIRIAM,CONFIDENCE SCORE,rxnKEGGID,rxnBiGGID,rxnRecon3DID,rxnMetaNetXID,rxnRheaID,rxnRheaMasterID,abs_cohens_d
MAR00264_pos,448.0,2.5364778833994653e-07,-1.1174479832185513,1.308969427353218e-06,MAR00264,,H2O[c] + oleoyl-CoA[c] => CoA[c] + H+[c] + oleate[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,bigg.reaction/FACOAE181;vmhreaction/RE3245C;metanetx.reaction/MNXR99134;sbo/SBO:0000176,0,,FACOAE181,RE3245C,MNXR99134,,,1.1174479832185513
MAR00230_pos,485.0,1.04026182844343e-06,-1.0319161817774531,4.996459635269021e-06,MAR00230,,H2O[c] + palmitoleoyl-CoA[c] => CoA[c] + H+[c] + palmitolate[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0230;sbo/SBO:0000176,0,,,HMR_0230,,,,1.0319161817774531
MAR00306_pos,491.0,1.2990482793366457e-06,-1.0299428783261,5.986014471183264e-06,MAR00306,,"(5Z,8Z,11Z)-eicosatrienoyl-CoA[c] + H2O[c] => CoA[c] + H+[c] + mead acid[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0306;sbo/SBO:0000176,0,,,HMR_0306,,,,1.0299428783261
MAR00206_pos,491.0,1.2990482793366457e-06,-1.029942878326097,5.986014471183264e-06,MAR00206,,(7Z)-tetradecenoyl-CoA[c] + H2O[c] => (7Z)-tetradecenoic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0206;sbo/SBO:0000176,0,,,HMR_0206,,,,1.029942878326097
MAR00238_pos,491.0,1.2990482793366457e-06,-1.0299428783260436,5.986014471183264e-06,MAR00238,,H2O[c] + heptadecanoyl-CoA[c] => CoA[c] + H+[c] + margaric acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0238;sbo/SBO:0000176,0,,,HMR_0238,,,,1.0299428783260436
MAR00430_pos,491.0,1.2990482793366457e-06,-1.029942878326033,5.986014471183264e-06,MAR00430,,"(11Z,14Z)-eicosadienoyl-CoA[c] + H2O[c] => (11Z,14Z)-eicosadienoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08190;vmhreaction/HMR_0430;sbo/SBO:0000176,0,R08190,,HMR_0430,,,,1.029942878326033
MAR00370_pos,491.0,1.2990482793366457e-06,-1.0299428783260298,5.986014471183264e-06,MAR00370,,"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[c] + H2O[c] => (9Z,12Z,15Z,18Z,21Z)-TPA[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0370;sbo/SBO:0000176,0,,,HMR_0370,,,,1.0299428783260298
MAR00342_pos,491.0,1.2990482793366457e-06,-1.0299428783260234,5.986014471183264e-06,MAR00342,,H2O[c] + hexacosanoyl-CoA[c] => cerotic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0342;sbo/SBO:0000176,0,,,HMR_0342,,,,1.0299428783260234
MAR00314_pos,491.0,1.2990482793366457e-06,-1.0299428783260214,5.986014471183264e-06,MAR00314,,docosanoyl-CoA[c] + H2O[c] => behenic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08184;vmhreaction/RE0578C;metanetx.reaction/MNXR103463;rhea/40783;sbo/SBO:0000176,0,R08184,,RE0578C,MNXR103463,,RHEA:40783,1.0299428783260214
MAR00394_pos,491.0,1.2990482793366457e-06,-1.0299428783260154,5.986014471183264e-06,MAR00394,,"12,15,18,21-tetracosatetraenoyl-CoA[c] + H2O[c] => 12,15,18,21-tetracosatetraenoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0394;sbo/SBO:0000176,0,,,HMR_0394,,,,1.0299428783260154
