,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,GENE NAME ASSOCIATION,SUBSYSTEM,MIRIAM,CONFIDENCE SCORE,rxnKEGGID,rxnBiGGID,rxnRecon3DID,rxnMetaNetXID,rxnRheaID,rxnRheaMasterID,abs_cohens_d
MAR03475_pos,54.0,8.833075444946419e-16,-3.036998033000466,1.7122998337019245e-15,MAR03475,Acetyl-CoA hydrolase,acetyl-CoA[x] + H2O[x] => acetate[x] + CoA[x] + H+[x],3.1.2.27,ENSG00000101473,[['ACOT8']],Acyl-CoA hydrolysis,kegg.reaction/R00227;reactome/R-HSA-390304;vmhreaction/HMR_3475;metanetx.reaction/MNXR95363;rhea/20290;rhea/20289;sbo/SBO:0000176,0,R00227,,HMR_3475,MNXR95363,RHEA:20290,RHEA:20289,3.036998033000466
MAR00230_pos,55.0,9.377292421954471e-16,-2.89688993480942,1.8117117301898904e-15,MAR00230,,H2O[c] + palmitoleoyl-CoA[c] => CoA[c] + H+[c] + palmitolate[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0230;sbo/SBO:0000176,0,,,HMR_0230,,,,2.89688993480942
MAR00378_pos,57.0,1.0566703847785374e-15,-2.860775339974553,1.991009014815009e-15,MAR00378,,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[c] + H2O[c] => CoA[c] + DHA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08180;vmhreaction/HMR_0378;rhea/67700;sbo/SBO:0000176,0,R08180,,HMR_0378,,,RHEA:67700,2.860775339974553
MAR00260_pos,57.0,1.0566703847785374e-15,-2.8607427448597664,1.991009014815009e-15,MAR00260,,cis-vaccenoyl-CoA[c] + H2O[c] => cis-vaccenic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0260;sbo/SBO:0000176,0,,,HMR_0260,,,,2.8607427448597664
MAR00406_pos,57.0,1.0566703847785374e-15,-2.8606995835737945,1.991009014815009e-15,MAR00406,,dihomo-gamma-linolenoyl-CoA[c] + H2O[c] => CoA[c] + dihomo-gamma-linolenate[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08182;vmhreaction/HMR_0406;sbo/SBO:0000176,0,R08182,,HMR_0406,,,,2.8606995835737945
MAR00197_pos,57.0,1.0566703847785374e-15,-2.8606072465917656,1.991009014815009e-15,MAR00197,,H2O[c] + myristoyl-CoA[c] => CoA[c] + H+[c] + myristic acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0197;sbo/SBO:0000176,0,,,HMR_0197,,,,2.8606072465917656
MAR00362_pos,57.0,1.0566703847785374e-15,-2.860555276018576,1.991009014815009e-15,MAR00362,"(5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-CoA hydrolase","(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[c] + H2O[c] => CoA[c] + EPA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08179;vmhreaction/HMR_0362;rhea/67712;sbo/SBO:0000176,0,R08179,,HMR_0362,,,RHEA:67712,2.860555276018576
MAR00358_pos,57.0,1.0566703847785374e-15,-2.860553652411976,1.991009014815009e-15,MAR00358,,"(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[c] + H2O[c] => CoA[c] + H+[c] + omega-3-arachidonic acid[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0358;sbo/SBO:0000176,0,,,HMR_0358,,,,2.860553652411976
MAR00410_pos,57.0,1.0566703847785374e-15,-2.8605418862821512,1.991009014815009e-15,MAR00410,,arachidonyl-CoA[c] + H2O[c] => arachidonate[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08183;vmhreaction/HMR_0410;sbo/SBO:0000176,0,R08183,,HMR_0410,,,,2.8605418862821512
MAR00350_pos,57.0,1.0566703847785374e-15,-2.8605016740441678,1.991009014815009e-15,MAR00350,,H2O[c] + linolenoyl-CoA[c] => CoA[c] + H+[c] + linolenate[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08178;vmhreaction/HMR_0350;sbo/SBO:0000176,0,R08178,,HMR_0350,,,,2.8605016740441678
